City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
165,Camacha,PT,33.08,-16.33,59.0,54,40,10.29,scattered clouds
166,Beboto,TD,8.27,16.94,86.14,21,0,4.27,clear sky
167,Kralendijk,BQ,12.15,-68.27,77.0,65,4,13.87,clear sky
168,Snasa,NO,64.25,12.38,19.24,92,18,2.15,few clouds
169,Vangaindrano,MG,-23.35,47.6,81.77,68,46,10.27,light rain
170,Shakhty,RU,47.71,40.21,39.2,86,75,6.71,broken clouds
171,Nalut,LY,30.33,10.85,48.61,45,100,5.55,overcast clouds
172,Guiyang,CN,26.58,106.72,37.4,86,90,4.47,overcast clouds
173,Rovaniemi,FI,66.5,25.72,10.4,92,99,5.82,overcast clouds
174,Cidreira,BR,-30.18,-50.21,64.99,87,3,5.19,clear sky
175,The Valley,AI,18.22,-63.06,78.01,69,40,13.87,scattered clouds
176,Lompoc,US,34.64,-120.46,51.8,93,90,4.45,overcast clouds
177,Botro,CI,7.85,-5.31,73.4,100,75,9.17,broken clouds
178,Arroyo,ES,41.61,-4.8,26.01,92,0,5.82,clear sky
179,Champerico,GT,14.3,-91.92,64.99,96,0,3.33,clear sky
180,Ferry Pass,US,30.51,-87.21,46.99,87,1,11.41,clear sky
181,Moa,CU,20.66,-74.94,74.32,80,13,12.97,few clouds
182,Iskateley,RU,67.68,53.15,-3.19,91,9,9.66,clear sky
183,Paraopeba,BR,-19.28,-44.4,62.6,93,75,3.36,light rain
184,Sangolqui,EC,-0.33,-78.45,55.4,93,90,4.7,overcast clouds
185,Dublin,US,37.7,-121.94,51.01,100,90,1.48,mist
186,Arlit,NE,18.74,7.39,77.83,16,0,12.35,clear sky
187,Sayyan,YE,15.17,44.32,59.11,34,1,1.36,clear sky
188,Stoenesti,RO,45.25,25.17,48.0,74,100,4.7,overcast clouds
189,Anupgarh,IN,29.19,73.21,69.82,42,0,6.89,clear sky
190,Mildura,AU,-34.2,142.15,84.2,32,100,8.05,overcast clouds
191,Bubaque,GW,11.28,-15.83,78.48,50,0,9.08,clear sky
192,Quatre Cocos,MU,-20.21,57.76,82.4,61,75,13.87,shower rain
193,Rocky Mountain House,CA,52.37,-114.92,41.0,44,58,9.17,broken clouds
194,Tombouctou,ML,20.0,-3.0,63.9,26,0,7.4,clear sky
195,Tuntum,BR,-5.26,-44.65,72.52,97,92,3.42,overcast clouds
196,Saskylakh,RU,71.92,114.08,-31.18,83,9,5.61,clear sky
197,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,15.8,47,96,8.95,overcast clouds
198,Ca Mau,VN,9.18,105.15,82.81,63,100,9.57,overcast clouds
199,Yichang,CN,30.71,111.28,53.69,41,0,5.44,clear sky
200,Montefiascone,IT,42.54,12.04,42.01,86,40,6.93,scattered clouds
201,Farcasele,RO,44.15,24.43,44.01,93,90,12.75,moderate rain
202,Bathsheba,BB,13.22,-59.52,77.0,53,75,20.8,broken clouds
203,Atar,MR,20.52,-13.05,58.44,37,0,5.21,clear sky
204,Kanda,JP,33.78,130.98,42.8,52,20,18.34,few clouds
205,Kavieng,PG,-2.57,150.8,84.76,74,96,10.31,overcast clouds
206,Harer,ET,9.31,42.13,71.89,33,87,2.68,overcast clouds
207,Muravlenko,RU,63.79,74.52,-27.26,84,9,11.81,clear sky
208,Cobh,IE,51.86,-8.3,30.2,92,20,14.99,few clouds
209,Salalah,OM,17.02,54.09,78.8,61,20,5.82,few clouds
210,Tuktoyaktuk,CA,69.45,-133.04,-16.15,85,93,11.16,overcast clouds
211,Mogadishu,SO,2.04,45.34,82.4,58,5,16.11,clear sky
212,Ancud,CL,-41.87,-73.82,53.01,93,0,8.05,clear sky
213,Codrington,AU,-38.27,141.97,60.71,83,63,21.34,broken clouds
214,Urbana,US,40.11,-88.21,33.8,99,90,6.93,snow
215,Deputatskiy,RU,69.3,139.9,-29.6,87,81,0.98,broken clouds
216,Manokwari,ID,-0.87,134.08,79.23,81,100,4.23,overcast clouds
217,Jinxiang,CN,27.43,120.61,53.92,72,79,14.29,broken clouds
218,Loa Janan,ID,-0.58,117.09,87.66,62,98,1.28,overcast clouds
219,San Patricio,US,28.02,-97.52,50.0,87,1,4.7,clear sky
220,Vredendal,ZA,-31.67,18.5,93.97,35,29,20.56,scattered clouds
221,College,US,64.86,-147.8,1.4,64,90,10.29,overcast clouds
222,Sola,VU,-13.88,167.55,83.3,78,95,11.41,light rain
223,Jalu,LY,29.03,21.55,60.3,48,0,14.23,clear sky
224,Sibolga,ID,1.74,98.78,82.83,72,99,3.65,light rain
225,Simplicio Mendes,BR,-7.85,-41.91,74.01,78,76,6.33,broken clouds
226,Shebunino,RU,46.43,141.86,14.86,91,100,13.82,light snow
227,Carmen,MX,18.63,-91.83,74.93,89,97,16.71,light rain
228,Mount Isa,AU,-20.73,139.5,86.0,55,100,9.17,overcast clouds
229,Merauke,ID,-8.47,140.33,85.35,74,100,14.47,moderate rain
230,Am Timan,TD,11.03,20.28,83.12,15,100,6.71,overcast clouds
231,Talaya,RU,61.38,152.75,-22.4,83,100,6.71,light snow
232,Krasnaya Zarya,RU,52.78,37.68,26.22,99,42,6.93,scattered clouds
233,Sobolevo,RU,54.43,31.9,33.08,97,100,6.04,snow
234,Turayf,SA,31.67,38.66,53.6,71,75,16.11,broken clouds
235,Hithadhoo,MV,-0.6,73.08,82.69,78,0,14.14,clear sky
236,Palmer,US,42.16,-72.33,30.2,74,1,6.93,clear sky
237,Esperance,AU,-33.87,121.9,69.8,46,75,20.8,broken clouds
238,Lata,PT,40.16,-8.33,42.01,100,0,3.36,mist
239,Victoria,HK,22.29,114.16,68.0,55,12,7.0,few clouds
240,Shache,CN,38.42,77.24,31.19,70,0,4.34,clear sky
241,Petrovskoye,RU,57.01,39.27,23.67,98,85,8.19,overcast clouds
242,Luchegorsk,RU,46.48,134.26,-10.03,90,65,5.61,broken clouds
243,Hoa Binh,VN,20.81,105.34,68.0,37,0,11.41,clear sky
244,Bosaso,SO,11.28,49.18,77.0,78,0,9.62,clear sky
245,Lagoa,PT,39.05,-27.98,61.41,84,100,33.44,light rain
246,Chenghai,CN,23.46,116.77,69.8,43,0,4.47,clear sky
247,Ayia Galini,GR,35.1,24.68,64.99,70,60,6.76,broken clouds
248,Linxia,CN,35.6,103.21,31.62,74,0,2.55,clear sky
249,Kristiansund,NO,63.11,7.73,28.4,74,0,6.93,clear sky
250,Kalianget,ID,-7.05,113.93,84.99,70,12,6.17,few clouds
251,Kapuskasing,CA,49.42,-82.43,32.0,97,100,11.41,overcast clouds
252,Vanimo,PG,-2.67,141.3,83.39,72,100,4.23,overcast clouds
253,Thinadhoo,MV,0.53,72.93,83.23,74,5,10.04,light rain
254,Charyshskoye,RU,51.4,83.56,-8.21,84,1,2.44,clear sky
255,Saint-Pierre,RE,-21.34,55.48,84.0,61,0,29.97,clear sky
256,Kudahuvadhoo,MV,2.67,72.89,82.49,78,64,12.55,light rain
257,Dingle,PH,11.0,122.67,80.38,87,100,9.73,moderate rain
258,Olinda,BR,-8.01,-34.86,77.0,73,40,5.82,scattered clouds
259,Rawatbhata,IN,24.93,75.58,82.24,45,20,11.61,light rain
260,Portland,US,45.52,-122.68,51.01,92,100,5.01,moderate rain
261,Talnakh,RU,69.49,88.4,-5.8,83,90,13.42,light snow
262,Alihe,CN,50.57,123.72,-7.85,83,0,3.06,clear sky
263,Korla,CN,41.76,86.15,23.54,79,13,9.91,few clouds
264,Bartica,GY,6.4,-58.62,73.4,100,75,2.24,moderate rain
265,Waipawa,NZ,-41.41,175.52,64.4,77,0,18.34,clear sky
266,Biak,ID,-0.91,122.88,83.95,69,100,1.43,heavy intensity rain
267,Yacuiba,BO,-22.04,-63.68,69.91,84,100,1.25,light rain
268,Provideniya,RU,64.38,-173.3,-2.29,82,30,22.5,scattered clouds
269,Dali,CN,25.7,100.18,61.68,31,19,8.37,few clouds
270,Rio Grande,BR,-32.03,-52.1,66.0,88,4,10.22,clear sky
271,Pekalongan,ID,-6.89,109.68,86.29,66,30,6.44,light rain
272,Lac Du Bonnet,CA,50.25,-96.06,30.2,80,5,18.34,clear sky
273,Severnyy,RU,50.68,36.55,33.8,86,90,6.71,overcast clouds
274,San Mateo Del Mar,MX,16.2,-95.0,74.75,75,0,32.35,clear sky
275,Talikota,IN,16.48,76.32,84.58,31,0,11.95,clear sky
276,Hovd,MN,48.01,91.64,-1.89,82,0,1.95,clear sky
277,Altamont,US,42.21,-121.74,36.0,94,40,9.17,scattered clouds
278,Sangar,RU,63.92,127.47,-45.9,76,1,3.42,clear sky
279,Port Hardy,CA,50.7,-127.42,44.6,93,90,5.82,light intensity shower rain
280,Nemuro,JP,43.32,145.57,23.0,45,40,3.36,scattered clouds
281,Guerrero Negro,MX,27.98,-114.06,57.83,68,0,11.18,clear sky
282,Mackay,AU,-21.15,149.2,82.4,74,40,12.75,scattered clouds
283,Komsomolskiy,UZ,40.43,71.72,23.0,92,90,1.63,fog
284,Moose Factory,CA,51.26,-80.61,30.2,86,90,13.87,overcast clouds
285,Arman,RU,59.7,150.17,-4.13,80,100,13.13,overcast clouds
286,Waris Aliganj,IN,25.02,85.63,79.09,26,79,5.44,broken clouds
287,Puerto Del Rosario,ES,28.5,-13.86,62.6,63,75,8.05,broken clouds
288,Yumen,CN,40.28,97.2,19.33,78,100,6.87,overcast clouds
289,Male,MV,4.17,73.51,87.8,74,75,14.99,broken clouds
290,Lewisporte,CA,49.25,-55.05,26.6,85,90,9.17,light snow
291,Coihaique,CL,-45.58,-72.07,51.8,53,0,8.05,clear sky
292,Los Llanos De Aridane,ES,28.66,-17.92,62.6,72,75,3.36,broken clouds
293,Burgersdorp,ZA,-31.0,26.33,69.39,55,81,12.5,broken clouds
294,Weinan,CN,34.5,109.51,45.0,35,60,4.47,haze
295,Tura,IN,25.52,90.22,76.39,41,100,2.95,overcast clouds
296,Vanavara,RU,60.34,102.28,-6.34,90,100,11.03,light snow
297,Alofi,NU,-19.06,-169.92,78.8,94,100,1.12,overcast clouds
298,Seddon,AU,-37.81,144.89,71.6,78,40,17.22,scattered clouds
299,Stokmarknes,NO,68.56,14.91,37.0,90,75,7.0,broken clouds
300,Tsiroanomandidy,MG,-18.77,46.03,83.07,52,62,6.17,broken clouds
301,Yabrud,SY,33.97,36.66,57.2,50,0,8.05,clear sky
302,Paita,PE,-5.09,-81.11,69.26,76,98,10.71,overcast clouds
303,Patacamaya,BO,-17.23,-67.92,45.14,81,75,2.89,broken clouds
304,Glenwood Springs,US,39.55,-107.32,14.0,85,1,13.87,clear sky
305,San Quintin,MX,30.48,-115.95,56.05,71,2,8.95,clear sky
306,Hamilton,US,39.18,-84.53,37.99,100,90,0.34,mist
307,Kampong Thum,KH,12.71,104.89,88.95,42,53,7.45,broken clouds
308,Ponta Delgada,PT,37.73,-25.67,59.0,93,75,23.04,light rain
309,Menongue,AO,-14.66,17.69,69.12,82,99,5.12,overcast clouds
310,Kushima,JP,31.46,131.23,53.6,58,75,9.17,broken clouds
311,Asino,RU,57.0,86.15,-18.15,86,68,8.34,broken clouds
312,Bolivar,US,37.61,-93.41,30.0,99,92,9.64,overcast clouds
313,Takoradi,GH,4.88,-1.76,80.49,81,48,5.79,light rain
314,Magadan,RU,59.57,150.8,-4.68,85,100,12.41,overcast clouds
315,Namibe,AO,-15.2,12.15,73.4,78,40,4.81,scattered clouds
316,Kontagora,NG,10.4,5.47,81.72,25,4,2.26,clear sky
317,Peleduy,RU,59.63,112.74,-12.78,85,100,13.47,overcast clouds
318,Benguela,AO,-12.58,13.41,80.6,74,75,4.7,broken clouds
319,Doha,QA,25.29,51.53,73.4,60,0,9.17,clear sky
320,Dunedin,NZ,-45.87,170.5,57.99,81,100,7.0,overcast clouds
321,Egvekinot,RU,66.32,-179.17,-13.09,85,59,20.56,broken clouds
322,Raudeberg,NO,61.99,5.14,33.8,74,0,10.29,clear sky
323,Dakar,SN,14.69,-17.44,68.0,94,0,9.17,clear sky
324,Hun,LY,29.13,15.95,60.1,37,46,4.59,scattered clouds
325,Sadri,IN,25.18,73.43,74.75,25,0,7.05,clear sky
326,Awjilah,LY,29.11,21.29,60.15,47,0,14.41,clear sky
327,Avera,US,33.19,-82.53,55.99,88,75,4.7,broken clouds
328,Khandbari,NP,27.37,87.2,73.0,32,100,4.61,overcast clouds
329,Eyl,SO,7.98,49.82,82.42,51,42,21.07,scattered clouds
330,Denizli,TR,37.84,29.07,33.8,38,0,5.82,clear sky
331,Dawei,MM,14.08,98.2,86.04,43,4,5.28,clear sky
332,Port Lincoln,AU,-34.73,135.87,66.33,75,78,22.03,broken clouds
333,Tual,ID,-5.67,132.75,85.19,74,91,11.97,overcast clouds
334,Partur,IN,19.6,76.22,84.02,31,86,7.99,overcast clouds
335,Natal,BR,-5.79,-35.21,80.6,78,75,11.41,broken clouds
336,Sabang,ID,5.89,95.32,81.12,82,96,23.64,light rain
337,Itarema,BR,-2.92,-39.92,80.6,74,20,4.7,few clouds
338,Venado Tuerto,AR,-33.75,-61.97,64.0,51,69,1.99,broken clouds
339,Saint John,CA,45.27,-66.07,27.0,92,90,17.22,overcast clouds
340,Batabano,CU,22.72,-82.29,62.6,100,90,3.36,fog
341,Malanje,AO,-9.54,16.34,66.2,93,90,4.7,light rain
342,Yar-Sale,RU,66.83,70.83,-22.29,85,20,15.61,few clouds
343,Zhigansk,RU,66.77,123.37,-39.33,81,9,0.4,clear sky
344,Erding,DE,48.31,11.91,30.2,92,75,4.7,broken clouds
345,Ondjiva,AO,-17.07,15.73,73.4,56,75,4.7,broken clouds
346,Bajil,YE,15.06,43.29,81.61,54,0,7.05,clear sky
347,Tingi,TZ,-11.3,35.03,74.19,74,92,2.01,light rain
348,Esmeraldas,BR,-19.76,-44.31,64.4,93,75,3.36,mist
349,Aripuana,BR,-9.17,-60.63,71.58,97,100,1.41,overcast clouds
350,Barcelos,PT,41.54,-8.62,34.0,87,5,9.17,clear sky
351,Moindou,NC,-21.69,165.68,77.0,94,91,5.82,mist
352,Naze,JP,28.37,129.48,62.6,67,75,14.99,broken clouds
353,Ust-Tsilma,RU,65.44,52.15,0.28,92,99,7.49,overcast clouds
354,Turinskaya Sloboda,RU,57.62,64.39,-10.84,89,100,11.12,light snow
355,Redmond,US,47.67,-122.12,39.99,94,100,7.54,heavy intensity rain
356,Prince George,CA,53.92,-122.75,35.01,86,75,12.75,broken clouds
357,Witu,KE,-2.39,40.44,86.0,66,20,3.36,few clouds
358,Souillac,MU,-20.52,57.52,82.4,61,75,13.87,shower rain
359,Luorong,CN,24.41,109.61,66.09,31,14,8.32,few clouds
360,Margate,GB,51.38,1.39,39.99,90,98,4.0,moderate rain
361,Zhezkazgan,KZ,47.8,67.71,-1.3,90,51,10.58,broken clouds
362,Kuchera,IN,26.98,73.97,73.63,35,0,4.59,clear sky
363,Labuhan,ID,-6.88,112.21,84.65,75,69,8.99,broken clouds
364,San Angelo,US,31.46,-100.44,44.01,60,1,13.87,clear sky
365,Sinnamary,GF,5.38,-52.95,76.75,87,41,12.95,scattered clouds
366,Narsaq,GL,60.92,-46.05,30.2,80,97,16.11,light shower snow
367,Saldanha,ZA,-33.01,17.94,80.6,42,0,4.7,clear sky
