City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
618,Grand Gaube,MU,81.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
624,Tadine,NC,79.43,moderate rain,-21.55,167.88,
632,Mahajanga,MG,89.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
644,Sambava,MG,84.18,overcast clouds,-14.27,50.17,Melrose
645,Gizo,SB,84.96,scattered clouds,-8.1,156.84,Imagination Island
649,Ewa Beach,US,75.2,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
650,Port Hedland,AU,95.0,scattered clouds,-20.32,118.57,The Esplanade Hotel
652,Banda Aceh,ID,82.99,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
653,Puerto Madero,MX,77.34,clear sky,14.72,-92.42,Hotel La Central
657,Broken Hill,AU,82.4,broken clouds,-31.95,141.43,Daydream Motel & Cottages
658,Salinopolis,BR,79.34,light rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
663,Quelimane,MZ,86.0,light rain,-17.88,36.89,Hotel Flamingo
665,Jashpurnagar,IN,81.0,clear sky,22.9,84.15,Sagar Restaurant
668,Sorong,ID,81.59,overcast clouds,-0.88,131.25,The Waigo Hotel
681,Bongor,TD,82.92,clear sky,10.28,15.37,Complexe le Confort
682,Malakal,SS,91.11,overcast clouds,9.53,31.66,Nile Palace Hotel
685,Saint-Georges,GD,75.2,light rain,12.06,-61.75,Siesta Hotel
686,Resistencia,AR,75.2,clear sky,-27.46,-58.98,Niyat Urban Hotel
690,Wattegama,LK,80.6,moderate rain,6.8,81.48,
