City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
389,Charters Towers,AU,77.49,light rain,-20.1,146.27,Cattleman's Rest Motor Inn
390,Tautira,PF,80.6,light rain,-17.73,-149.15,Pension Oaoa
393,Dzaoudzi,YT,80.6,light rain,-12.79,45.27,Le Rocher
398,Mubi,NG,83.1,clear sky,10.27,13.26,Hotel
399,Mizan Teferi,ET,78.44,light rain,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
400,Kirakira,SB,81.81,overcast clouds,-10.45,161.92,SanBiz Lodge
401,Loandjili,CG,75.2,scattered clouds,-4.76,11.86,Résidence ARCHANGE
403,Port Blair,IN,81.41,clear sky,11.67,92.75,Welcomhotel Bay Island Port Blair
405,San Policarpo,PH,81.68,overcast clouds,12.18,125.51,JM Lodge
408,Kampong Chhnang,KH,83.93,scattered clouds,12.17,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
409,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
412,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
414,Jatiroto,ID,78.12,moderate rain,-7.88,111.12,Mushola Al Huda
416,Lumphat,KH,89.47,scattered clouds,13.49,106.98,Lumphat Homestay
422,Lodja,CD,79.83,overcast clouds,-3.48,23.43,
424,Manuk Mangkaw,PH,83.23,broken clouds,4.8,119.85,
436,Kloulklubed,PW,80.6,moderate rain,7.04,134.26,Storyboard Beach Resort
441,Kutum,SD,75.25,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
453,Kimbe,PG,82.45,light rain,-5.55,150.14,Kimbe Bay Hotel
454,Acapulco,MX,75.65,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
456,Sendhwa,IN,83.53,clear sky,21.68,75.1,Hotel Shagun Garden
457,Porto Murtinho,BR,75.24,clear sky,-21.7,-57.88,Hotel Pantanal
458,Durban,ZA,75.2,clear sky,-29.86,31.03,Hilton Durban
461,Baghmara,IN,83.07,broken clouds,23.8,86.21,BCCL Guest House Dumra
462,Yaan,NG,81.99,few clouds,7.38,8.57,
463,Goulburn,AU,77.0,overcast clouds,-34.75,149.72,Alpine Heritage Motel
464,Koumac,NC,79.97,overcast clouds,-20.57,164.28,Le Monitel
466,Alyangula,AU,84.2,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
470,Kalmunai,LK,82.69,light rain,7.42,81.82,VS Villa
473,Nacala,MZ,89.6,light rain,-14.54,40.67,Nacala Plaza Business Design Hotel
477,Trairi,BR,79.23,scattered clouds,-3.28,-39.27,janelas do mar
480,Dhidhdhoo,MV,81.84,overcast clouds,6.88,73.1,Dhidhoo beach
485,Touros,BR,77.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
486,Pa Sang,TH,86.0,clear sky,18.53,98.94,โรงแรม จามจุรี 99
490,Axim,GH,80.42,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
492,Vinukonda,IN,82.9,few clouds,16.05,79.75,VLS Residency
494,Wukari,NG,83.64,clear sky,7.85,9.78,Elimtop
497,Bilma,NE,78.26,clear sky,18.69,12.92,Expeditions Ténére voyages
499,Viedma,AR,82.0,broken clouds,-40.81,-63.0,Hotel Cristal
500,Biltine,TD,86.72,scattered clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
501,Bambanglipuro,ID,82.35,overcast clouds,-7.95,110.28,Puri Brata
510,Fare,PF,80.2,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
511,Bireun,ID,79.09,overcast clouds,5.2,96.7,OYO 2303 Hotel Blang Raya
514,Richards Bay,ZA,79.05,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
516,Gamba,GA,78.48,overcast clouds,-2.65,10.0,
520,Aitape,PG,83.97,overcast clouds,-3.14,142.35,
525,Jibuti,DJ,76.44,few clouds,11.5,42.5,Orchid Main Camp Goubet
527,Pathein,MM,87.64,overcast clouds,16.78,94.73,Pathein Hotel
529,Tabou,CI,78.91,light rain,4.42,-7.35,hotêl doufoulougou
530,Vite,IN,82.67,clear sky,17.28,74.55,Government Hostel
533,Ballina,AU,77.0,light rain,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
541,Benalla,AU,80.6,broken clouds,-36.55,145.98,Rose City Motor Inn
542,Latur,IN,83.88,few clouds,18.4,76.58,Hotel Shivneri Durvankur Lodge
543,Labuan,MY,80.6,moderate rain,5.28,115.24,Tiara Labuan Hotel
